EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8
519020.8,-553437,69122.15,267809.8,-182102,272767.1,275708.3,-261553
460260.8,-750000.1,-354841,262338.3,-254365.9,458301.6,39979.58,-219508.5
670373.6,-750000.1,-323040.7,479387.8,-346138.2,571491.4,-341423.8,-175273.6
750000.1,-488453.9,612804.4,454846.3,69729.04,586739.3,-160025.2,59131.63
750000.1,50958.76,750000.1,524724.1,415069.2,735145.8,354559.8,346023
750000.1,625818.4,750000.1,750000.1,562261.1,750000.1,543810.2,463415.3
750000.1,674202.5,750000.1,750000.1,724432.4,750000.1,631536.5,570562.2
750000.1,673683.3,681690.8,750000.1,673369.4,750000.1,614816.4,642160.1
750000.1,680624.9,750000.1,750000.1,657814.9,750000.1,589406.1,643387.1
750000.1,750000.1,750000.1,750000.1,691602.6,750000.1,595333,750000.1
750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
750000.1,729808.4,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
750000.1,656272.6,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
750000.1,626623.9,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
725748.3,602768.3,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
696412.4,581746.8,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
670441.8,563123.7,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
646522,545775,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
624066,529283,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
603954.6,514522.8,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
586099.7,501448.2,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
569511.2,489190.2,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
553531.1,477220.4,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
539002.3,466344,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
526143.8,456783.3,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
514210.1,447864.3,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
502467,438929.9,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
491571.8,430635.7,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
482000.6,423417.6,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
473175.3,416747.9,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
464320.8,409937.9,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
455896.3,403431,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
448555,397833.7,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
441876,392753.6,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
435102.5,387497.9,750000.1,750000.1,750000.1,750000.1,740053.9,750000.1
428468.5,382312.2,750000.1,750000.1,750000.1,750000.1,724603.8,750000.1
