EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
516395.000,-580732.100,32727.070,349557.900,-216485.800,273447.200,264909.600,-250675.400,0.000
506427.000,-750000.100,-356938.500,252834.100,-264408.300,459466.400,29882.760,-228388.200,0.000
701059.800,-750000.100,-298156.900,476499.000,-365702.400,569913.300,-300687.800,-164277.100,0.000
750000.100,-406032.800,642690.400,458114.900,69475.930,587808.100,-108876.800,59883.460,0.000
750000.100,207982.800,750000.100,535999.100,415463.900,737029.100,391506.900,348090.300,0.000
750000.100,661505.200,750000.100,750000.100,565708.000,750000.100,551464.100,466211.100,0.000
750000.100,673967.400,750000.100,750000.100,723347.600,750000.100,629376.800,572983.700,0.000
750000.100,673636.400,685730.800,750000.100,672301.400,750000.100,612815.200,642550.600,0.000
750000.100,680241.300,750000.100,750000.100,656278.800,750000.100,589161.900,645728.200,0.000
750000.100,750000.100,750000.100,750000.100,690642.400,750000.100,595622.200,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,701033.500,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,667419.400,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
750000.100,642486.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
725901.400,619505.700,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
696822.900,597254.800,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
670873.700,577368.600,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
648373.300,560361.100,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
627732.400,544686.300,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
607617.400,528956.200,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
589207.700,514468.300,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
573329.900,502236.600,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
558843.000,491109.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
544366.400,479634.800,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
530724.400,468680.200,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
519018.300,459507.000,750000.100,750000.100,750000.100,750000.100,750000.100,750000.100,0.000
