EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8
516395,-580732.1,32727.07,349557.9,-216485.8,273447.2,264909.6,-250675.4
506427,-750000.1,-356938.5,252834.1,-264408.3,459466.4,29882.76,-228388.2
701059.8,-750000.1,-298156.9,476499,-365702.4,569913.3,-300687.8,-164277.1
750000.1,-406032.8,642690.4,458114.9,69475.93,587808.1,-108876.8,59883.46
750000.1,207982.8,750000.1,535999.1,415463.9,737029.1,391506.9,348090.3
750000.1,661505.2,750000.1,750000.1,565708,750000.1,551464.1,466211.1
750000.1,673967.4,750000.1,750000.1,723347.6,750000.1,629376.8,572983.7
750000.1,673636.4,685730.8,750000.1,672301.4,750000.1,612815.2,642550.6
750000.1,680241.3,750000.1,750000.1,656278.8,750000.1,589161.9,645728.2
750000.1,750000.1,750000.1,750000.1,690642.4,750000.1,595622.2,750000.1
750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
750000.1,701033.5,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
750000.1,667419.4,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
750000.1,642486,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
725901.4,619505.7,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
696822.9,597254.8,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
670873.7,577368.6,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
648373.3,560361.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
627732.4,544686.3,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
607617.4,528956.2,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
589207.7,514468.3,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
573329.9,502236.6,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
558843,491109,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
544366.4,479634.8,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
530724.4,468680.2,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
519018.3,459507,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
508526.9,451404.6,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
497856,442875.4,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
487407.1,434331.6,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
478476.8,427209.8,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
470690.8,421169.6,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
462710.9,414777.4,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
454532.1,407991.8,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
447508.1,402294.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
441602.4,397699.6,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
435584.2,392899.3,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
429080.6,387450.8,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
423378.3,382740.8,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
418786.3,379156,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
414219.5,375544.3,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
408982.7,371123.1,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
404268.1,367166.4,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
400614.4,364299.9,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
397137.8,361592.9,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
392931.4,358035.9,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
388930.7,354616.2,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
385935.3,352237.8,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
383292.5,350223.5,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
379947.3,347417.6,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
376519.3,344448.2,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
374010.3,342427.4,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
372005.5,340947.7,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
369383.4,338780.5,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
366407.3,336170.3,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
364234.9,334387.6,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
362690.4,333281,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
360668.9,331650.8,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
358098.4,329377.2,750000.1,750000.1,750000.1,750000.1,750000.1,750000.1
356147.1,327730.8,750000.1,750000.1,750000.1,750000.1,748175,750000.1
354929.7,326880.7,750000.1,750000.1,750000.1,750000.1,741335.2,750000.1
353404,325698.8,750000.1,750000.1,750000.1,750000.1,734691.5,750000.1
351167.3,323705.4,750000.1,750000.1,750000.1,750000.1,727494.1,750000.1
349385.3,322157.6,750000.1,750000.1,750000.1,750000.1,720745.4,750000.1
348404.3,321476.6,750000.1,750000.1,750000.1,750000.1,715017.3,750000.1
347316.4,320696.7,750000.1,750000.1,750000.1,750000.1,709435.8,750000.1
345422.8,319017.2,750000.1,750000.1,750000.1,750000.1,703070.5,750000.1
343747.2,317528.7,750000.1,750000.1,750000.1,750000.1,696877.3,750000.1
342924.2,316965.4,750000.1,750000.1,750000.1,750000.1,691718.6,750000.1
342195.2,316517.8,749757,749818,749526.6,750000.1,686883.6,750000.1
340640.8,315156.1,748014.8,748075.8,747785,748281.3,681278,748685.1
339063.8,313721.3,746361.2,746422.5,746132.2,746627.1,675591.7,747031.2
338323,313188.7,744826.3,744888,744598.1,745091.9,670845.5,745496.3
337851.5,312974.3,743366.3,743428.4,743138.9,743631.8,666601.6,744035.9
336609.5,311921.4,741921.1,741982.9,741694.5,742186.1,661681.7,742590.2
335108.8,310538.3,740534.4,740595.9,740308.3,740799.1,656423.6,741202.5
334403,310007.7,739256.3,739317.6,739030.3,739519.8,652006.1,739923.9
334151.3,309999.4,738057.1,738118.6,737831.5,738320.9,648261.7,738724.6
333244.5,309281.6,736869,736930.5,736644.1,737131.9,643998.9,737535.8
331818.5,307948.4,735702.7,735764.3,735478.8,735965.3,639142.4,736369.4
331082.4,307338.6,734632.3,734693.5,734408.9,734894.8,634972.3,735298.7
330973.1,307432.2,733647.6,733708.5,733424.2,733909.6,631621.1,734313.5
330346.7,306967.6,732662.4,732723.6,732439.8,732924.4,627906.9,733328.1
329037.4,305712.6,731685.6,731746.9,731463.4,731947.2,623449.8,732351.4
328253.3,305003.3,730787,730847.9,730564.5,731047.6,619467.8,731452.1
328206.6,305124.8,729965.6,730026.3,729744.1,730226.4,616370.9,730630.6
327848.8,304922.8,729153.4,729214.6,728932.8,729414.3,613154.5,729819
326667.5,303784,728332.5,728393.8,728112.3,728593.3,609085.7,728997.7
325819.9,302976,727574.6,727635.4,727354.3,727835.1,605252,728239.6
325798.6,303087.4,726891.8,726953,726671.7,727152.3,602333.3,727557.2
325690.5,303136.3,726228.7,726289.8,726009,726488.8,599518.1,726893.9
324680.8,302181.1,725546.4,725607.2,725327,725806.3,595831.9,726211.3
323766.3,301285.3,724904.3,724964.9,724684.8,725164,592129.6,725569.1
323732.6,301355.5,724341.5,724402,724122.7,724601.1,589359.8,725006.4
323806.7,301581,723799.4,723859.8,723580.6,724058.6,586883,724463.9
322993.9,300830.4,723229.3,723289.6,723010.6,723487.9,583588.2,723893.4
322038.4,299877.2,722684.3,722744.6,722465.8,722943,580036.2,723348.5
321940.2,299865.5,722216.9,722277.8,721998.8,722475.3,577344.8,722881.6
322158.2,300245,721777.8,721838.9,721560.2,722036.5,575138.1,722442.9
321564.4,299745.1,721307.6,721368.4,721089.9,721566.1,572236.7,721972.6
320567.8,298763.5,720842.9,720903.5,720625.6,721101.4,568837.4,721507.8
320382.2,298656.5,720452.8,720513.4,720235.4,720710.9,566198.9,721117.9
320694.6,299130.6,720100.8,720161,719883.1,720358.4,564198.6,720765.6
320312.2,298855.4,719712.4,719772.8,719495.4,719969.9,561637.9,720377.4
319320.5,297864,719317.1,719377.4,719100.3,719574.1,558404.6,719982.3
318987,297573.9,718979.8,719039.8,718762.8,719236.8,555762.5,719644.8
319323.8,298047.7,718689.2,718749.1,718471.8,718945.9,553908,719354.1
319191.6,298029,718383.3,718443.7,718166.4,718640.2,551745.8,719048.1
318251,297086.2,718046.9,718107.1,717830.3,718304.3,548736.5,718712.3
317789.4,296643.2,717756.7,717817.2,717540.4,718014.1,546093.2,718422.6
318118.2,297090.3,717520.2,717580.4,717304,717777.1,544308.6,718186
