Timestamp,Elapsed Time (s),Event
1741485970.5218072,0.000,Baseline Start - Backward
1741485975.5416992,5.020,Imagination Start - Backward
1741485985.557599,15.036,Rest Start - Backward
1741485990.590492,20.069,Baseline Start - Backward
1741485995.591467,25.070,Imagination Start - Backward
1741486005.640298,35.118,Rest Start - Backward
1741486010.673301,40.151,Baseline Start - Backward
1741486015.6812239,45.159,Imagination Start - Backward
1741486025.7201421,55.198,Rest Start - Backward
1741486030.765121,60.243,Baseline Start - Backward
1741486035.7779899,65.256,Imagination Start - Backward
1741486045.8158898,75.294,Rest Start - Backward
1741486050.842814,80.321,Baseline Start - Backward
1741486055.860783,85.339,Imagination Start - Backward
1741486065.8946612,95.373,Rest Start - Backward
1741486070.934589,100.413,Baseline Start - Backward
1741486075.987527,105.466,Imagination Start - Backward
1741486086.019451,115.498,Rest Start - Backward
1741486091.02338,120.502,Baseline Start - Backward
1741486096.073312,125.552,Imagination Start - Backward
1741486106.096171,135.574,Rest Start - Backward
1741486111.148176,140.626,Baseline Start - Backward
1741486116.1490781,145.627,Imagination Start - Backward
1741486126.176908,155.655,Rest Start - Backward
1741486131.1938932,160.672,Baseline Start - Backward
1741486136.216835,165.695,Imagination Start - Backward
1741486146.230732,175.709,Rest Start - Backward
1741486151.284652,180.763,Baseline Start - Backward
1741486156.3406029,185.819,Imagination Start - Backward
1741486166.343471,195.822,Rest Start - Backward
1741486171.362376,200.841,Baseline Start - Backward
1741486176.4163158,205.895,Imagination Start - Backward
1741486186.417255,215.895,Rest Start - Backward
1741486191.426194,220.904,Baseline Start - Backward
1741486196.4760761,225.954,Imagination Start - Backward
1741486206.488014,235.966,Rest Start - Backward
1741486211.536961,241.015,Baseline Start - Backward
1741486216.5649128,246.043,Imagination Start - Backward
1741486226.566794,256.045,Rest Start - Backward
1741486231.612702,261.091,Baseline Start - Backward
1741486236.660676,266.139,Imagination Start - Backward
1741486246.702542,276.181,Rest Start - Backward
1741486251.757484,281.236,Baseline Start - Backward
1741486256.809351,286.288,Imagination Start - Backward
1741486266.8163211,296.295,Rest Start - Backward
1741486271.8682501,301.346,Baseline Start - Backward
1741486276.91219,306.390,Imagination Start - Backward
1741486286.9651,316.443,Rest Start - Backward
1741486291.98402,321.462,Baseline Start - Backward
1741486297.020969,326.499,Imagination Start - Backward
1741486307.0238469,336.502,Rest Start - Backward
1741486312.039774,341.518,Baseline Start - Backward
1741486317.0507278,346.529,Imagination Start - Backward
1741486327.0905962,356.569,Rest Start - Backward
1741486332.122533,361.601,Baseline Start - Backward
1741486337.1279209,366.606,Imagination Start - Backward
1741486347.1313941,376.610,Rest Start - Backward
1741486352.172318,381.651,Baseline Start - Backward
1741486357.200295,386.678,Imagination Start - Backward
1741486367.216148,396.694,Rest Start - Backward
