Timestamp,Elapsed Time (s),Event
1741484378.961386,0.000,Baseline Start - Forward
1741484383.993334,5.032,Imagination Start - Forward
1741484394.004334,15.043,Rest Start - Forward
1741484399.05734,20.096,Baseline Start - Forward
1741484404.059338,25.098,Imagination Start - Forward
1741484414.113363,35.152,Rest Start - Forward
1741484419.1633248,40.202,Baseline Start - Forward
1741484424.19133,45.230,Imagination Start - Forward
1741484434.2323132,55.271,Rest Start - Forward
1741484439.27633,60.315,Baseline Start - Forward
1741484444.279298,65.318,Imagination Start - Forward
1741484454.334323,75.373,Rest Start - Forward
1741484459.367309,80.406,Baseline Start - Forward
1741484464.3933141,85.432,Imagination Start - Forward
1741484474.4462569,95.485,Rest Start - Forward
1741484479.452327,100.491,Baseline Start - Forward
1741484484.465308,105.504,Imagination Start - Forward
1741484494.475281,115.514,Rest Start - Forward
1741484499.521332,120.560,Baseline Start - Forward
1741484504.529303,125.568,Imagination Start - Forward
1741484514.5673,135.606,Rest Start - Forward
1741484519.6003149,140.639,Baseline Start - Forward
1741484524.605322,145.644,Imagination Start - Forward
1741484534.634337,155.673,Rest Start - Forward
1741484539.649333,160.688,Baseline Start - Forward
1741484544.691318,165.730,Imagination Start - Forward
1741484554.7154062,175.754,Rest Start - Forward
1741484559.7483048,180.787,Baseline Start - Forward
1741484564.754264,185.793,Imagination Start - Forward
1741484574.805307,195.844,Rest Start - Forward
1741484579.857305,200.896,Baseline Start - Forward
1741484584.898222,205.937,Imagination Start - Forward
1741484594.90332,215.942,Rest Start - Forward
1741484599.926305,220.965,Baseline Start - Forward
1741484604.978296,226.017,Imagination Start - Forward
1741484614.9823081,236.021,Rest Start - Forward
1741484620.0332549,241.072,Baseline Start - Forward
1741484625.04135,246.080,Imagination Start - Forward
1741484635.048288,256.087,Rest Start - Forward
1741484640.091296,261.130,Baseline Start - Forward
1741484645.092412,266.131,Imagination Start - Forward
1741484655.107296,276.146,Rest Start - Forward
1741484660.145279,281.184,Baseline Start - Forward
1741484665.155095,286.194,Imagination Start - Forward
1741484675.2083788,296.247,Rest Start - Forward
1741484680.246387,301.285,Baseline Start - Forward
1741484685.299217,306.338,Imagination Start - Forward
1741484695.356493,316.395,Rest Start - Forward
1741484700.407626,321.446,Baseline Start - Forward
1741484705.449995,326.489,Imagination Start - Forward
1741484715.474161,336.513,Rest Start - Forward
1741484720.524907,341.564,Baseline Start - Forward
1741484725.553689,346.592,Imagination Start - Forward
1741484735.5563688,356.595,Rest Start - Forward
1741484740.561273,361.600,Baseline Start - Forward
1741484745.583152,366.622,Imagination Start - Forward
1741484755.591976,376.631,Rest Start - Forward
1741484760.6438751,381.682,Baseline Start - Forward
1741484765.69697,386.736,Imagination Start - Forward
1741484775.7467341,396.785,Rest Start - Forward
