Timestamp,Elapsed Time (s),Event
1741482847.315658,0.000,Baseline Start - Right
1741482852.318607,5.003,Imagination Start - Right
1741482862.3596,15.044,Rest Start - Right
1741482867.3826072,20.067,Baseline Start - Right
1741482872.395591,25.080,Imagination Start - Right
1741482882.426924,35.111,Rest Start - Right
1741482887.446614,40.131,Baseline Start - Right
1741482892.499583,45.184,Imagination Start - Right
1741482902.5245938,55.209,Rest Start - Right
1741482907.571566,60.256,Baseline Start - Right
1741482912.575605,65.260,Imagination Start - Right
1741482922.613601,75.298,Rest Start - Right
1741482927.66358,80.348,Baseline Start - Right
1741482932.692576,85.377,Imagination Start - Right
1741482942.721689,95.406,Rest Start - Right
1741482947.7586071,100.443,Baseline Start - Right
1741482952.778571,105.463,Imagination Start - Right
1741482962.7806091,115.465,Rest Start - Right
1741482967.7835698,120.468,Baseline Start - Right
1741482972.788589,125.473,Imagination Start - Right
1741482982.837575,135.522,Rest Start - Right
1741482987.891583,140.576,Baseline Start - Right
1741482992.9255831,145.610,Imagination Start - Right
1741483002.974594,155.659,Rest Start - Right
1741483008.016487,160.701,Baseline Start - Right
1741483013.0625842,165.747,Imagination Start - Right
1741483023.089567,175.774,Rest Start - Right
1741483028.112565,180.797,Baseline Start - Right
1741483033.1295621,185.814,Imagination Start - Right
1741483043.156551,195.841,Rest Start - Right
1741483048.205575,200.890,Baseline Start - Right
1741483053.2545931,205.939,Imagination Start - Right
1741483063.270562,215.955,Rest Start - Right
1741483068.271552,220.956,Baseline Start - Right
1741483073.280548,225.965,Imagination Start - Right
1741483083.3255522,236.010,Rest Start - Right
1741483088.370568,241.055,Baseline Start - Right
1741483093.385556,246.070,Imagination Start - Right
1741483103.4365382,256.121,Rest Start - Right
1741483108.480583,261.165,Baseline Start - Right
1741483113.5005472,266.185,Imagination Start - Right
1741483123.506542,276.191,Rest Start - Right
1741483128.551627,281.236,Baseline Start - Right
1741483133.568558,286.253,Imagination Start - Right
1741483143.602556,296.287,Rest Start - Right
1741483148.614548,301.299,Baseline Start - Right
1741483153.631567,306.316,Imagination Start - Right
1741483163.683553,316.368,Rest Start - Right
1741483168.7245498,321.409,Baseline Start - Right
1741483173.773551,326.458,Imagination Start - Right
1741483183.774549,336.459,Rest Start - Right
1741483188.800544,341.485,Baseline Start - Right
1741483193.839542,346.524,Imagination Start - Right
1741483203.8686779,356.553,Rest Start - Right
1741483208.919539,361.604,Baseline Start - Right
1741483213.9534998,366.638,Imagination Start - Right
1741483223.959539,376.644,Rest Start - Right
1741483228.991553,381.676,Baseline Start - Right
1741483233.994544,386.679,Imagination Start - Right
1741483243.99756,396.682,Rest Start - Right
