Real Time,Elapsed Time,Event
1745258158.3190844,0.000,Start Trial 1 - Forward
1745258160.3215241,2.002,Start Flashing - Forward
1745258160.3215241,2.002,Flash [Left]
1745258160.7243254,2.405,Flash [Left]
1745258161.126608,2.808,Flash [Right]
1745258161.528197,3.209,Flash [Left]
1745258161.9310753,3.612,Flash [Backward]
1745258162.3331068,4.014,Flash [Left]
1745258162.735383,4.416,Flash [Left]
1745258163.1379473,4.819,Flash [Right]
1745258163.5401654,5.221,Flash [Left]
1745258163.9429066,5.624,Flash [Backward]
1745258164.34447,6.025,Flash [Backward]
1745258164.7468164,6.428,Flash [Backward]
1745258165.14881,6.830,Flash [Left]
1745258165.5513027,7.232,Flash [Forward]
1745258165.9540515,7.635,Flash [Backward]
1745258166.3564107,8.037,Flash [Forward]
1745258166.7579803,8.439,Flash [Left]
1745258167.1610637,8.842,Flash [Forward]
1745258167.5629394,9.244,Flash [Left]
1745258167.9657815,9.647,Flash [Forward]
1745258168.3670802,10.048,Flash [Left]
1745258168.7695682,10.450,Flash [Right]
1745258169.1722107,10.853,Flash [Right]
1745258169.574046,11.255,Flash [Left]
1745258169.9762962,11.657,Flash [Left]
1745258170.3787498,12.060,End Flashing - Forward
1745258180.3792214,22.060,Baseline - Forward
1745258180.3792214,22.060,End Trial 1 - Forward
