Real Time,Elapsed Time,Event
1745258312.7397714,0.000,Start Trial 8 - Backward
1745258314.7416377,2.002,Start Flashing - Backward
1745258314.7421615,2.002,Flash [Forward]
1745258315.144733,2.405,Flash [Forward]
1745258315.5463412,2.807,Flash [Right]
1745258315.9487205,3.209,Flash [Backward]
1745258316.350942,3.611,Flash [Backward]
1745258316.7534006,4.014,Flash [Left]
1745258317.1558864,4.416,Flash [Left]
1745258317.5584717,4.819,Flash [Backward]
1745258317.9607227,5.221,Flash [Forward]
1745258318.362639,5.623,Flash [Left]
1745258318.7654228,6.026,Flash [Backward]
1745258319.1671138,6.427,Flash [Right]
1745258319.569333,6.830,Flash [Backward]
1745258319.9720492,7.232,Flash [Right]
1745258320.3736129,7.634,Flash [Forward]
1745258320.7764952,8.037,Flash [Right]
1745258321.178598,8.439,Flash [Right]
1745258321.5802267,8.840,Flash [Backward]
1745258321.982589,9.243,Flash [Right]
1745258322.3853698,9.646,Flash [Left]
1745258322.787195,10.047,Flash [Forward]
1745258323.1894424,10.450,Flash [Left]
1745258323.5919034,10.852,Flash [Backward]
1745258323.9946737,11.255,Flash [Left]
1745258324.3964684,11.657,Flash [Right]
1745258324.7988982,12.059,End Flashing - Backward
1745258334.7998214,22.060,Baseline - Backward
1745258334.7998214,22.060,End Trial 8 - Backward
