Real Time,Elapsed Time,Event
1745448499.5700297,0.000,Start Trial 20 - Right
1745448501.571512,2.001,Start Flashing - Right
1745448501.571512,2.001,Flash [Right]
1745448501.973785,2.404,Flash [Forward]
1745448502.3759677,2.806,Flash [Left]
1745448502.7779832,3.208,Flash [Backward]
1745448503.180213,3.610,Flash [Right]
1745448503.5834956,4.013,Flash [Left]
1745448503.9848745,4.415,Flash [Backward]
1745448504.3866937,4.817,Flash [Forward]
1745448504.7889173,5.219,Flash [Backward]
1745448505.1911535,5.621,Flash [Backward]
1745448505.5936754,6.024,Flash [Left]
1745448505.9957414,6.426,Flash [Forward]
1745448506.398593,6.829,Flash [Backward]
1745448506.8010895,7.231,Flash [Right]
1745448507.2026093,7.633,Flash [Right]
1745448507.604936,8.035,Flash [Backward]
1745448508.00795,8.438,Flash [Left]
1745448508.4099483,8.840,Flash [Forward]
1745448508.811363,9.241,Flash [Forward]
1745448509.213739,9.644,Flash [Forward]
1745448509.6159544,10.046,Flash [Forward]
1745448510.0180528,10.448,Flash [Backward]
1745448510.4195652,10.850,Flash [Backward]
1745448510.8216562,11.252,Flash [Backward]
1745448511.2240582,11.654,Flash [Right]
1745448511.6260505,12.056,End Flashing - Right
1745448521.6267457,22.057,Baseline - Right
1745448521.6267457,22.057,End Trial 20 - Right
