Real Time,Elapsed Time,Event
1745449183.7961574,0.000,Start Trial 10 - Left
1745449185.7984817,2.002,Start Flashing - Left
1745449185.7984817,2.002,Flash [Backward]
1745449186.2010095,2.405,Flash [Left]
1745449186.6028283,2.807,Flash [Forward]
1745449187.0054789,3.209,Flash [Forward]
1745449187.4068303,3.611,Flash [Forward]
1745449187.8095014,4.013,Flash [Right]
1745449188.2111373,4.415,Flash [Left]
1745449188.6139488,4.818,Flash [Backward]
1745449189.0162053,5.220,Flash [Backward]
1745449189.417969,5.622,Flash [Right]
1745449189.820347,6.024,Flash [Backward]
1745449190.2234383,6.427,Flash [Forward]
1745449190.624746,6.829,Flash [Forward]
1745449191.0273519,7.231,Flash [Backward]
1745449191.4298038,7.634,Flash [Left]
1745449191.8318486,8.036,Flash [Left]
1745449192.234256,8.438,Flash [Right]
1745449192.6368155,8.841,Flash [Forward]
1745449193.0404792,9.244,Flash [Right]
1745449193.4416404,9.645,Flash [Backward]
1745449193.8447201,10.049,Flash [Forward]
1745449194.2463546,10.450,Flash [Right]
1745449194.6488118,10.853,Flash [Left]
1745449195.0505064,11.254,Flash [Backward]
1745449195.4534295,11.657,Flash [Backward]
1745449195.8549542,12.059,End Flashing - Left
1745449205.8555534,22.059,Baseline - Left
1745449205.8555534,22.059,End Trial 10 - Left
