Real Time,Elapsed Time,Event
1745258202.4390981,0.000,Start Trial 3 - Forward
1745258204.4415946,2.002,Start Flashing - Forward
1745258204.4415946,2.002,Flash [Backward]
1745258204.844377,2.405,Flash [Backward]
1745258205.247198,2.808,Flash [Backward]
1745258205.649572,3.210,Flash [Right]
1745258206.0519743,3.613,Flash [Right]
1745258206.453532,4.014,Flash [Backward]
1745258206.8564045,4.417,Flash [Forward]
1745258207.2579224,4.819,Flash [Right]
1745258207.6599157,5.221,Flash [Backward]
1745258208.0626485,5.624,Flash [Forward]
1745258208.464223,6.025,Flash [Left]
1745258208.8667493,6.428,Flash [Forward]
1745258209.268865,6.830,Flash [Left]
1745258209.6708915,7.232,Flash [Backward]
1745258210.0727406,7.634,Flash [Backward]
1745258210.4748936,8.036,Flash [Right]
1745258210.8770049,8.438,Flash [Left]
1745258211.2796817,8.841,Flash [Right]
1745258211.6813605,9.242,Flash [Right]
1745258212.083665,9.645,Flash [Right]
1745258212.4861643,10.047,Flash [Left]
1745258212.888061,10.449,Flash [Right]
1745258213.2903821,10.851,Flash [Forward]
1745258213.692618,11.254,Flash [Backward]
1745258214.0949626,11.656,Flash [Backward]
1745258214.4968467,12.058,End Flashing - Forward
1745258224.4979289,22.059,Baseline - Forward
1745258224.4979289,22.059,End Trial 3 - Forward
