Real Time,Elapsed Time,Event
1745446467.0303917,0.000,Start Trial 13 - Left
1745446469.0321665,2.002,Start Flashing - Left
1745446469.0321665,2.002,Flash [Backward]
1745446469.4349148,2.405,Flash [Forward]
1745446469.8371518,2.807,Flash [Right]
1745446470.238774,3.208,Flash [Left]
1745446470.640868,3.610,Flash [Left]
1745446471.0434723,4.013,Flash [Forward]
1745446471.4452963,4.415,Flash [Backward]
1745446471.847559,4.817,Flash [Right]
1745446472.2498262,5.219,Flash [Right]
1745446472.6515734,5.621,Flash [Forward]
1745446473.053389,6.023,Flash [Right]
1745446473.4556065,6.425,Flash [Backward]
1745446473.8576899,6.827,Flash [Forward]
1745446474.261118,7.231,Flash [Left]
1745446474.6625087,7.632,Flash [Right]
1745446475.0643468,8.034,Flash [Backward]
1745446475.4671078,8.437,Flash [Forward]
1745446475.8689468,8.839,Flash [Right]
1745446476.2715616,9.241,Flash [Backward]
1745446476.673138,9.643,Flash [Right]
1745446477.0755484,10.045,Flash [Right]
1745446477.478716,10.448,Flash [Left]
1745446477.8806562,10.850,Flash [Backward]
1745446478.2825203,11.252,Flash [Left]
1745446478.684726,11.654,Flash [Right]
1745446479.0871131,12.057,End Flashing - Left
1745446489.0878208,22.057,Baseline - Left
1745446489.0878208,22.057,End Trial 13 - Left
