Real Time,Elapsed Time,Event
1745446533.2110817,0.000,Start Trial 16 - Right
1745446535.21359,2.003,Start Flashing - Right
1745446535.214093,2.003,Flash [Backward]
1745446535.616931,2.406,Flash [Backward]
1745446536.0200756,2.809,Flash [Right]
1745446536.422681,3.212,Flash [Forward]
1745446536.8242788,3.613,Flash [Backward]
1745446537.227673,4.017,Flash [Left]
1745446537.6303635,4.419,Flash [Forward]
1745446538.0321114,4.821,Flash [Right]
1745446538.4345722,5.223,Flash [Right]
1745446538.837125,5.626,Flash [Forward]
1745446539.2392926,6.028,Flash [Right]
1745446539.6420877,6.431,Flash [Forward]
1745446540.0447228,6.834,Flash [Backward]
1745446540.4478042,7.237,Flash [Left]
1745446540.8497925,7.639,Flash [Backward]
1745446541.2524838,8.041,Flash [Backward]
1745446541.655032,8.444,Flash [Left]
1745446542.0572171,8.846,Flash [Backward]
1745446542.4593349,9.248,Flash [Right]
1745446542.8610542,9.650,Flash [Right]
1745446543.2646027,10.054,Flash [Left]
1745446543.6667767,10.456,Flash [Forward]
1745446544.0693965,10.858,Flash [Left]
1745446544.4713702,11.260,Flash [Right]
1745446544.873974,11.663,Flash [Left]
1745446545.2763033,12.065,End Flashing - Right
1745446555.2772012,22.066,Baseline - Right
1745446555.2772012,22.066,End Trial 16 - Right
