Real Time,Elapsed Time,Event
1745446312.615471,0.000,Start Trial 6 - Backward
1745446314.6180294,2.003,Start Flashing - Backward
1745446314.6180294,2.003,Flash [Backward]
1745446315.0200617,2.405,Flash [Right]
1745446315.4220595,2.807,Flash [Forward]
1745446315.8240895,3.209,Flash [Right]
1745446316.226166,3.611,Flash [Right]
1745446316.629214,4.014,Flash [Backward]
1745446317.0312536,4.416,Flash [Forward]
1745446317.4329004,4.817,Flash [Backward]
1745446317.835027,5.220,Flash [Forward]
1745446318.2374856,5.622,Flash [Left]
1745446318.6398995,6.024,Flash [Left]
1745446319.041986,6.427,Flash [Left]
1745446319.4443736,6.829,Flash [Right]
1745446319.8460348,7.231,Flash [Forward]
1745446320.2479222,7.632,Flash [Forward]
1745446320.6504726,8.035,Flash [Backward]
1745446321.0531797,8.438,Flash [Left]
1745446321.4554935,8.840,Flash [Forward]
1745446321.857762,9.242,Flash [Left]
1745446322.259376,9.644,Flash [Forward]
1745446322.6614811,10.046,Flash [Left]
1745446323.0643017,10.449,Flash [Right]
1745446323.4654374,10.850,Flash [Left]
1745446323.8674054,11.252,Flash [Right]
1745446324.2695763,11.654,Flash [Right]
1745446324.6714857,12.056,End Flashing - Backward
1745446334.672506,22.057,Baseline - Backward
1745446334.672506,22.057,End Trial 6 - Backward
