Real Time,Elapsed Time,Event
1745189548.992649,0.000,Start Trial 7 - Backward
1745189550.9946506,2.002,Start Flashing - Backward
1745189550.9946506,2.002,"Flash ['Backward', 'Right']"
1745189551.1967604,2.204,"Flash ['Left', 'Forward']"
1745189551.3994088,2.407,"Flash ['Forward', 'Right']"
1745189551.6025665,2.610,"Flash ['Backward', 'Right']"
1745189551.8037357,2.811,"Flash ['Backward', 'Left']"
1745189552.006391,3.014,"Flash ['Backward', 'Right']"
1745189552.2082794,3.216,"Flash ['Backward', 'Right']"
1745189552.4111285,3.418,"Flash ['Backward', 'Forward']"
1745189552.6132069,3.621,"Flash ['Forward', 'Backward']"
1745189552.8151722,3.823,"Flash ['Forward', 'Backward']"
1745189553.0174696,4.025,"Flash ['Forward', 'Right']"
1745189553.219203,4.227,"Flash ['Right', 'Backward']"
1745189553.4213922,4.429,"Flash ['Forward', 'Backward']"
1745189553.6241724,4.632,"Flash ['Left', 'Forward']"
1745189553.8260546,4.833,"Flash ['Right', 'Left']"
1745189554.0286722,5.036,"Flash ['Right', 'Backward']"
1745189554.2306933,5.238,"Flash ['Right', 'Left']"
1745189554.4341943,5.442,"Flash ['Backward', 'Left']"
1745189554.6359231,5.643,"Flash ['Left', 'Forward']"
1745189554.838261,5.846,"Flash ['Forward', 'Left']"
1745189555.0401614,6.048,"Flash ['Backward', 'Forward']"
1745189555.242952,6.250,"Flash ['Right', 'Forward']"
1745189555.4450486,6.452,"Flash ['Backward', 'Right']"
1745189555.6470907,6.654,"Flash ['Forward', 'Right']"
1745189555.8497329,6.857,"Flash ['Forward', 'Left']"
1745189556.05143,7.059,"Flash ['Backward', 'Right']"
1745189556.2535481,7.261,"Flash ['Forward', 'Backward']"
1745189556.4561539,7.464,"Flash ['Backward', 'Forward']"
1745189556.6575427,7.665,"Flash ['Backward', 'Left']"
1745189556.8596828,7.867,"Flash ['Right', 'Backward']"
1745189557.0619292,8.069,"Flash ['Backward', 'Right']"
1745189557.264281,8.272,"Flash ['Right', 'Backward']"
1745189557.4659796,8.473,"Flash ['Forward', 'Right']"
1745189557.6687012,8.676,"Flash ['Right', 'Forward']"
1745189557.870989,8.878,"Flash ['Right', 'Backward']"
1745189558.0726814,9.080,"Flash ['Forward', 'Backward']"
1745189558.2750435,9.282,"Flash ['Left', 'Forward']"
1745189558.4780452,9.485,"Flash ['Right', 'Backward']"
1745189558.6800349,9.687,"Flash ['Forward', 'Right']"
1745189558.8828068,9.890,"Flash ['Backward', 'Right']"
1745189559.0848963,10.092,"Flash ['Forward', 'Left']"
1745189559.2869906,10.294,"Flash ['Left', 'Right']"
1745189559.489439,10.497,"Flash ['Right', 'Forward']"
1745189559.691777,10.699,"Flash ['Right', 'Left']"
1745189559.8940518,10.901,"Flash ['Forward', 'Right']"
1745189560.0966146,11.104,"Flash ['Forward', 'Backward']"
1745189560.2986763,11.306,"Flash ['Right', 'Left']"
1745189560.5012512,11.509,"Flash ['Right', 'Forward']"
1745189560.7039933,11.711,"Flash ['Forward', 'Left']"
1745189560.9055915,11.913,"Flash ['Backward', 'Right']"
1745189561.107795,12.115,End Flashing - Backward
1745189571.1087132,22.116,Baseline - Backward
1745189571.1087132,22.116,End Trial 7 - Backward
