Real Time,Elapsed Time,Event
1745193082.3585346,0.000,Start Trial 15 - Left
1745193084.3602133,2.002,Start Flashing - Left
1745193084.36123,2.003,"Flash ['Left', 'Forward']"
1745193084.5626442,2.204,"Flash ['Left', 'Forward']"
1745193084.7656028,2.407,"Flash ['Left', 'Backward']"
1745193084.968352,2.610,"Flash ['Left', 'Backward']"
1745193085.1699855,2.811,"Flash ['Left', 'Forward']"
1745193085.3734434,3.015,"Flash ['Forward', 'Left']"
1745193085.5759904,3.217,"Flash ['Left', 'Forward']"
1745193085.7777045,3.419,"Flash ['Left', 'Right']"
1745193085.9796357,3.621,"Flash ['Right', 'Forward']"
1745193086.1819766,3.823,"Flash ['Forward', 'Backward']"
1745193086.3846042,4.026,"Flash ['Forward', 'Right']"
1745193086.587523,4.229,"Flash ['Left', 'Right']"
1745193086.7893147,4.431,"Flash ['Forward', 'Backward']"
1745193086.9917514,4.633,"Flash ['Left', 'Right']"
1745193087.1937163,4.835,"Flash ['Forward', 'Left']"
1745193087.396106,5.038,"Flash ['Backward', 'Forward']"
1745193087.5984466,5.240,"Flash ['Right', 'Backward']"
1745193087.7998269,5.441,"Flash ['Backward', 'Forward']"
1745193088.002126,5.644,"Flash ['Left', 'Backward']"
1745193088.2047265,5.846,"Flash ['Forward', 'Left']"
1745193088.4074564,6.049,"Flash ['Backward', 'Right']"
1745193088.6096551,6.251,"Flash ['Forward', 'Right']"
1745193088.8117397,6.453,"Flash ['Right', 'Forward']"
1745193089.0137777,6.655,"Flash ['Right', 'Forward']"
1745193089.2161944,6.858,"Flash ['Left', 'Right']"
1745193089.4194586,7.061,"Flash ['Forward', 'Left']"
1745193089.6206605,7.262,"Flash ['Left', 'Forward']"
1745193089.8236833,7.465,"Flash ['Left', 'Backward']"
1745193090.0258698,7.667,"Flash ['Right', 'Backward']"
1745193090.2285266,7.870,"Flash ['Backward', 'Forward']"
1745193090.4313157,8.073,"Flash ['Backward', 'Left']"
1745193090.6327949,8.274,"Flash ['Forward', 'Backward']"
1745193090.8361514,8.478,"Flash ['Backward', 'Forward']"
1745193091.0392735,8.681,"Flash ['Right', 'Left']"
1745193091.2411122,8.883,"Flash ['Backward', 'Forward']"
1745193091.4444768,9.086,"Flash ['Backward', 'Left']"
1745193091.6466527,9.288,"Flash ['Right', 'Left']"
1745193091.8489995,9.490,"Flash ['Right', 'Backward']"
1745193092.050658,9.692,"Flash ['Right', 'Backward']"
1745193092.253936,9.895,"Flash ['Backward', 'Left']"
1745193092.4562364,10.098,"Flash ['Forward', 'Backward']"
1745193092.6595368,10.301,"Flash ['Backward', 'Left']"
1745193092.8612723,10.503,"Flash ['Right', 'Forward']"
1745193093.0633554,10.705,"Flash ['Right', 'Left']"
1745193093.266096,10.908,"Flash ['Forward', 'Right']"
1745193093.4686337,11.110,"Flash ['Forward', 'Right']"
1745193093.6704376,11.312,"Flash ['Right', 'Backward']"
1745193093.8731751,11.515,"Flash ['Right', 'Left']"
1745193094.0755417,11.717,"Flash ['Right', 'Left']"
1745193094.277286,11.919,"Flash ['Forward', 'Right']"
1745193094.4797754,12.121,End Flashing - Left
1745193104.4806454,22.122,Baseline - Left
1745193104.4806454,22.122,End Trial 15 - Left
