Real Time,Elapsed Time,Event
1745193104.481168,0.000,Start Trial 16 - Right
1745193106.4833646,2.002,Start Flashing - Right
1745193106.4843824,2.003,"Flash ['Left', 'Forward']"
1745193106.6863172,2.205,"Flash ['Left', 'Forward']"
1745193106.8886116,2.407,"Flash ['Forward', 'Right']"
1745193107.0909598,2.610,"Flash ['Forward', 'Backward']"
1745193107.2944398,2.813,"Flash ['Left', 'Right']"
1745193107.4962776,3.015,"Flash ['Backward', 'Left']"
1745193107.6994083,3.218,"Flash ['Left', 'Right']"
1745193107.902004,3.421,"Flash ['Backward', 'Left']"
1745193108.1039653,3.623,"Flash ['Backward', 'Forward']"
1745193108.3064315,3.825,"Flash ['Right', 'Forward']"
1745193108.5088882,4.028,"Flash ['Left', 'Forward']"
1745193108.7113268,4.230,"Flash ['Forward', 'Backward']"
1745193108.9133933,4.432,"Flash ['Backward', 'Forward']"
1745193109.116263,4.635,"Flash ['Forward', 'Backward']"
1745193109.3184752,4.837,"Flash ['Backward', 'Forward']"
1745193109.5212362,5.040,"Flash ['Backward', 'Left']"
1745193109.7240992,5.243,"Flash ['Backward', 'Left']"
1745193109.9261937,5.445,"Flash ['Right', 'Left']"
1745193110.1280448,5.647,"Flash ['Forward', 'Left']"
1745193110.3307073,5.850,"Flash ['Forward', 'Right']"
1745193110.5326173,6.051,"Flash ['Left', 'Right']"
1745193110.734408,6.253,"Flash ['Right', 'Forward']"
1745193110.9369624,6.456,"Flash ['Forward', 'Backward']"
1745193111.1394234,6.658,"Flash ['Forward', 'Right']"
1745193111.343074,6.862,"Flash ['Left', 'Forward']"
1745193111.5445082,7.063,"Flash ['Backward', 'Right']"
1745193111.7464685,7.265,"Flash ['Backward', 'Forward']"
1745193111.949147,7.468,"Flash ['Backward', 'Forward']"
1745193112.1509411,7.670,"Flash ['Forward', 'Left']"
1745193112.354503,7.873,"Flash ['Forward', 'Left']"
1745193112.5557382,8.075,"Flash ['Forward', 'Left']"
1745193112.7585692,8.277,"Flash ['Forward', 'Left']"
1745193112.961111,8.480,"Flash ['Left', 'Right']"
1745193113.1630502,8.682,"Flash ['Right', 'Forward']"
1745193113.3661335,8.885,"Flash ['Forward', 'Left']"
1745193113.5686367,9.087,"Flash ['Backward', 'Forward']"
1745193113.7706857,9.290,"Flash ['Forward', 'Left']"
1745193113.9724717,9.491,"Flash ['Backward', 'Right']"
1745193114.1746688,9.694,"Flash ['Left', 'Forward']"
1745193114.3782735,9.897,"Flash ['Left', 'Backward']"
1745193114.5799878,10.099,"Flash ['Left', 'Right']"
1745193114.7818487,10.301,"Flash ['Left', 'Backward']"
1745193114.9847283,10.504,"Flash ['Left', 'Right']"
1745193115.1873863,10.706,"Flash ['Right', 'Left']"
1745193115.3902264,10.909,"Flash ['Forward', 'Right']"
1745193115.593295,11.112,"Flash ['Right', 'Left']"
1745193115.7946782,11.314,"Flash ['Backward', 'Left']"
1745193115.9971867,11.516,"Flash ['Backward', 'Forward']"
1745193116.1994655,11.718,"Flash ['Right', 'Forward']"
1745193116.4025726,11.921,"Flash ['Forward', 'Backward']"
1745193116.6046643,12.123,End Flashing - Right
1745193126.6051378,22.124,Baseline - Right
1745193126.6051378,22.124,End Trial 16 - Right
