Real Time,Elapsed Time,Event
1745192838.9994771,0.000,Start Trial 4 - Forward
1745192841.0020354,2.003,Start Flashing - Forward
1745192841.0025408,2.003,"Flash ['Forward', 'Right']"
1745192841.2056434,2.206,"Flash ['Left', 'Backward']"
1745192841.407393,2.408,"Flash ['Forward', 'Backward']"
1745192841.6092827,2.610,"Flash ['Backward', 'Forward']"
1745192841.811462,2.812,"Flash ['Backward', 'Forward']"
1745192842.0144424,3.015,"Flash ['Backward', 'Left']"
1745192842.216339,3.217,"Flash ['Right', 'Forward']"
1745192842.419708,3.420,"Flash ['Backward', 'Left']"
1745192842.6216764,3.622,"Flash ['Right', 'Backward']"
1745192842.8242981,3.825,"Flash ['Left', 'Forward']"
1745192843.0268676,4.027,"Flash ['Left', 'Backward']"
1745192843.2280784,4.229,"Flash ['Left', 'Forward']"
1745192843.4310303,4.432,"Flash ['Forward', 'Backward']"
1745192843.633245,4.634,"Flash ['Forward', 'Backward']"
1745192843.8347218,4.835,"Flash ['Forward', 'Backward']"
1745192844.0373335,5.038,"Flash ['Left', 'Backward']"
1745192844.239461,5.240,"Flash ['Backward', 'Right']"
1745192844.4421418,5.443,"Flash ['Backward', 'Right']"
1745192844.6443877,5.645,"Flash ['Right', 'Backward']"
1745192844.8470733,5.848,"Flash ['Forward', 'Right']"
1745192845.0493982,6.050,"Flash ['Backward', 'Left']"
1745192845.2516274,6.252,"Flash ['Left', 'Right']"
1745192845.4537404,6.454,"Flash ['Forward', 'Left']"
1745192845.6560972,6.657,"Flash ['Right', 'Forward']"
1745192845.8588445,6.859,"Flash ['Forward', 'Right']"
1745192846.061534,7.062,"Flash ['Right', 'Forward']"
1745192846.264457,7.265,"Flash ['Left', 'Right']"
1745192846.4661417,7.467,"Flash ['Forward', 'Backward']"
1745192846.6694129,7.670,"Flash ['Forward', 'Backward']"
1745192846.8714879,7.872,"Flash ['Forward', 'Left']"
1745192847.0746257,8.075,"Flash ['Left', 'Forward']"
1745192847.2757201,8.276,"Flash ['Forward', 'Right']"
1745192847.4784942,8.479,"Flash ['Right', 'Left']"
1745192847.6814466,8.682,"Flash ['Left', 'Backward']"
1745192847.8825047,8.883,"Flash ['Backward', 'Right']"
1745192848.0859993,9.087,"Flash ['Left', 'Backward']"
1745192848.2874455,9.288,"Flash ['Backward', 'Right']"
1745192848.489557,9.490,"Flash ['Right', 'Backward']"
1745192848.6921768,9.693,"Flash ['Right', 'Left']"
1745192848.8941576,9.895,"Flash ['Left', 'Right']"
1745192849.097078,10.098,"Flash ['Right', 'Left']"
1745192849.300349,10.301,"Flash ['Forward', 'Left']"
1745192849.5017114,10.502,"Flash ['Right', 'Backward']"
1745192849.704789,10.705,"Flash ['Right', 'Backward']"
1745192849.9066675,10.907,"Flash ['Left', 'Backward']"
1745192850.1096222,11.110,"Flash ['Forward', 'Right']"
1745192850.3116052,11.312,"Flash ['Left', 'Backward']"
1745192850.514424,11.515,"Flash ['Right', 'Left']"
1745192850.716553,11.717,"Flash ['Right', 'Forward']"
1745192850.9185007,11.919,"Flash ['Right', 'Backward']"
1745192851.1204402,12.121,End Flashing - Forward
1745192861.121514,22.122,Baseline - Forward
1745192861.121514,22.122,End Trial 4 - Forward
