Real Time,Elapsed Time,Event
1745258356.8610055,0.000,Start Trial 10 - Backward
1745258358.8624933,2.001,Start Flashing - Backward
1745258358.8630116,2.002,Flash [Right]
1745258359.2655678,2.405,Flash [Right]
1745258359.6671963,2.806,Flash [Right]
1745258360.070727,3.210,Flash [Backward]
1745258360.4724796,3.611,Flash [Forward]
1745258360.874437,4.013,Flash [Backward]
1745258361.2765968,4.416,Flash [Left]
1745258361.679452,4.818,Flash [Left]
1745258362.0811076,5.220,Flash [Right]
1745258362.484619,5.624,Flash [Left]
1745258362.8872943,6.026,Flash [Right]
1745258363.2885568,6.428,Flash [Forward]
1745258363.6911964,6.830,Flash [Right]
1745258364.0932374,7.232,Flash [Left]
1745258364.4956284,7.635,Flash [Backward]
1745258364.8970258,8.036,Flash [Forward]
1745258365.299293,8.438,Flash [Left]
1745258365.7022898,8.841,Flash [Backward]
1745258366.1043634,9.243,Flash [Left]
1745258366.5067942,9.646,Flash [Left]
1745258366.9094794,10.048,Flash [Forward]
1745258367.3111985,10.450,Flash [Right]
1745258367.7134035,10.852,Flash [Forward]
1745258368.1160915,11.255,Flash [Forward]
1745258368.518183,11.657,Flash [Forward]
1745258368.9201815,12.059,End Flashing - Backward
1745258378.9208612,22.060,Baseline - Backward
1745258378.9208612,22.060,End Trial 10 - Backward
