Real Time,Elapsed Time,Event
1745258400.9817262,0.000,Start Trial 12 - Left
1745258402.9908767,2.009,Start Flashing - Left
1745258402.9908767,2.009,Flash [Forward]
1745258403.3936315,2.412,Flash [Backward]
1745258403.7959945,2.814,Flash [Forward]
1745258404.1981468,3.216,Flash [Right]
1745258404.6006665,3.619,Flash [Left]
1745258405.003106,4.021,Flash [Right]
1745258405.4066958,4.425,Flash [Backward]
1745258405.8087795,4.827,Flash [Left]
1745258406.2114842,5.230,Flash [Backward]
1745258406.6138332,5.632,Flash [Forward]
1745258407.0158396,6.034,Flash [Backward]
1745258407.418588,6.437,Flash [Left]
1745258407.820628,6.839,Flash [Left]
1745258408.2237551,7.242,Flash [Left]
1745258408.6258857,7.644,Flash [Backward]
1745258409.0278986,8.046,Flash [Left]
1745258409.4292982,8.448,Flash [Left]
1745258409.8317187,8.850,Flash [Right]
1745258410.2341998,9.252,Flash [Left]
1745258410.6367185,9.655,Flash [Left]
1745258411.0385773,10.057,Flash [Right]
1745258411.441236,10.460,Flash [Backward]
1745258411.8429663,10.861,Flash [Forward]
1745258412.2459216,11.264,Flash [Right]
1745258412.6478753,11.666,Flash [Forward]
1745258413.0496962,12.068,End Flashing - Left
1745258423.050288,22.069,Baseline - Left
1745258423.050288,22.069,End Trial 12 - Left
