Real Time,Elapsed Time,Event
1745258511.2906883,0.000,Start Trial 17 - Right
1745258513.2929025,2.002,Start Flashing - Right
1745258513.2929025,2.002,Flash [Forward]
1745258513.6957164,2.405,Flash [Left]
1745258514.0976052,2.807,Flash [Backward]
1745258514.5006776,3.210,Flash [Right]
1745258514.9030266,3.612,Flash [Left]
1745258515.305524,4.015,Flash [Forward]
1745258515.707797,4.417,Flash [Forward]
1745258516.1099627,4.819,Flash [Left]
1745258516.512344,5.222,Flash [Right]
1745258516.9148655,5.624,Flash [Backward]
1745258517.3169348,6.026,Flash [Backward]
1745258517.7187681,6.428,Flash [Forward]
1745258518.121776,6.831,Flash [Right]
1745258518.5235538,7.233,Flash [Backward]
1745258518.9262722,7.636,Flash [Forward]
1745258519.328508,8.038,Flash [Forward]
1745258519.7315876,8.441,Flash [Backward]
1745258520.133861,8.843,Flash [Right]
1745258520.5356452,9.245,Flash [Backward]
1745258520.9383957,9.648,Flash [Left]
1745258521.340692,10.050,Flash [Left]
1745258521.742599,10.452,Flash [Right]
1745258522.1452525,10.855,Flash [Backward]
1745258522.5469077,11.256,Flash [Backward]
1745258522.9489236,11.658,Flash [Forward]
1745258523.351341,12.061,End Flashing - Right
1745258533.3520756,22.061,Baseline - Right
1745258533.3520756,22.061,End Trial 17 - Right
