Real Time,Elapsed Time,Event
1745258853.5444126,0.000,Start Trial 1 - Forward
1745258855.5460951,2.002,Start Flashing - Forward
1745258855.5460951,2.002,Flash [Backward]
1745258855.948337,2.404,Flash [Left]
1745258856.3503695,2.806,Flash [Forward]
1745258856.7532809,3.209,Flash [Left]
1745258857.1550465,3.611,Flash [Forward]
1745258857.55731,4.013,Flash [Backward]
1745258857.9594605,4.415,Flash [Backward]
1745258858.361439,4.817,Flash [Backward]
1745258858.7640052,5.220,Flash [Backward]
1745258859.1659014,5.621,Flash [Forward]
1745258859.568277,6.024,Flash [Forward]
1745258859.9708934,6.426,Flash [Left]
1745258860.3729668,6.829,Flash [Forward]
1745258860.7749557,7.231,Flash [Left]
1745258861.1771934,7.633,Flash [Right]
1745258861.5792146,8.035,Flash [Forward]
1745258861.980956,8.437,Flash [Forward]
1745258862.3839395,8.840,Flash [Left]
1745258862.7859266,9.242,Flash [Backward]
1745258863.188263,9.644,Flash [Backward]
1745258863.5901937,10.046,Flash [Forward]
1745258863.9925091,10.448,Flash [Left]
1745258864.3941734,10.850,Flash [Backward]
1745258864.7959507,11.252,Flash [Backward]
1745258865.1982696,11.654,Flash [Right]
1745258865.6004157,12.056,End Flashing - Forward
1745258875.60138,22.057,Baseline - Forward
1745258875.60138,22.057,End Trial 1 - Forward
