Real Time,Elapsed Time,Event
1745189681.6999257,0.000,Start Trial 13 - Left
1745189683.7015448,2.002,Start Flashing - Left
1745189683.7015448,2.002,"Flash ['Backward', 'Right']"
1745189683.904237,2.204,"Flash ['Backward', 'Forward']"
1745189684.1055458,2.406,"Flash ['Backward', 'Right']"
1745189684.3083026,2.608,"Flash ['Right', 'Forward']"
1745189684.5100026,2.810,"Flash ['Backward', 'Left']"
1745189684.7126522,3.013,"Flash ['Left', 'Forward']"
1745189684.9145403,3.215,"Flash ['Forward', 'Left']"
1745189685.1165845,3.417,"Flash ['Forward', 'Right']"
1745189685.3186152,3.619,"Flash ['Backward', 'Forward']"
1745189685.5219889,3.822,"Flash ['Left', 'Backward']"
1745189685.7230487,4.023,"Flash ['Right', 'Left']"
1745189685.9255548,4.226,"Flash ['Backward', 'Forward']"
1745189686.1274858,4.428,"Flash ['Left', 'Right']"
1745189686.3290143,4.629,"Flash ['Left', 'Backward']"
1745189686.5314484,4.832,"Flash ['Left', 'Backward']"
1745189686.7337134,5.034,"Flash ['Backward', 'Forward']"
1745189686.9366338,5.237,"Flash ['Right', 'Backward']"
1745189687.1383204,5.438,"Flash ['Left', 'Right']"
1745189687.3407981,5.641,"Flash ['Backward', 'Left']"
1745189687.5434418,5.844,"Flash ['Right', 'Left']"
1745189687.7448196,6.045,"Flash ['Left', 'Right']"
1745189687.947893,6.248,"Flash ['Left', 'Forward']"
1745189688.150344,6.450,"Flash ['Forward', 'Left']"
1745189688.35278,6.653,"Flash ['Left', 'Forward']"
1745189688.5541778,6.854,"Flash ['Left', 'Forward']"
1745189688.7563543,7.056,"Flash ['Forward', 'Left']"
1745189688.9584167,7.258,"Flash ['Backward', 'Right']"
1745189689.1607966,7.461,"Flash ['Backward', 'Forward']"
1745189689.3628466,7.663,"Flash ['Forward', 'Left']"
1745189689.5654733,7.866,"Flash ['Right', 'Forward']"
1745189689.7677383,8.068,"Flash ['Forward', 'Right']"
1745189689.9695663,8.270,"Flash ['Backward', 'Right']"
1745189690.1725829,8.473,"Flash ['Right', 'Left']"
1745189690.3747067,8.675,"Flash ['Right', 'Forward']"
1745189690.5765786,8.877,"Flash ['Forward', 'Backward']"
1745189690.7792866,9.079,"Flash ['Left', 'Backward']"
1745189690.9806967,9.281,"Flash ['Forward', 'Left']"
1745189691.182775,9.483,"Flash ['Forward', 'Backward']"
1745189691.38564,9.686,"Flash ['Backward', 'Forward']"
1745189691.5877478,9.888,"Flash ['Backward', 'Right']"
1745189691.790604,10.091,"Flash ['Right', 'Left']"
1745189691.9917588,10.292,"Flash ['Left', 'Right']"
1745189692.1945665,10.495,"Flash ['Backward', 'Right']"
1745189692.3962946,10.696,"Flash ['Backward', 'Left']"
1745189692.5990539,10.899,"Flash ['Forward', 'Right']"
1745189692.8025513,11.103,"Flash ['Right', 'Backward']"
1745189693.004242,11.304,"Flash ['Backward', 'Left']"
1745189693.207402,11.507,"Flash ['Left', 'Backward']"
1745189693.4097192,11.710,"Flash ['Left', 'Forward']"
1745189693.612767,11.913,"Flash ['Forward', 'Backward']"
1745189693.8147683,12.115,End Flashing - Left
1745189703.8153036,22.115,Baseline - Left
1745189703.8153036,22.115,End Trial 13 - Left
