Real Time,Elapsed Time,Event
1745191830.4425313,0.000,Start Trial 15 - Backward
1745191832.4446394,2.002,Start Flashing - Backward
1745191832.4446394,2.002,"Flash ['Forward', 'Right']"
1745191832.6475096,2.205,"Flash ['Backward', 'Right']"
1745191832.8489707,2.406,"Flash ['Left', 'Forward']"
1745191833.0525298,2.610,"Flash ['Forward', 'Left']"
1745191833.2543035,2.812,"Flash ['Right', 'Forward']"
1745191833.4570742,3.015,"Flash ['Backward', 'Left']"
1745191833.659041,3.217,"Flash ['Forward', 'Left']"
1745191833.8613582,3.419,"Flash ['Right', 'Forward']"
1745191834.0631099,3.621,"Flash ['Left', 'Forward']"
1745191834.2658663,3.823,"Flash ['Right', 'Backward']"
1745191834.4674857,4.025,"Flash ['Left', 'Forward']"
1745191834.6707356,4.228,"Flash ['Left', 'Backward']"
1745191834.8720706,4.430,"Flash ['Backward', 'Right']"
1745191835.0741453,4.632,"Flash ['Backward', 'Forward']"
1745191835.2763677,4.834,"Flash ['Right', 'Left']"
1745191835.4792013,5.037,"Flash ['Right', 'Forward']"
1745191835.6813028,5.239,"Flash ['Right', 'Left']"
1745191835.8834443,5.441,"Flash ['Right', 'Backward']"
1745191836.0856156,5.643,"Flash ['Right', 'Backward']"
1745191836.288662,5.846,"Flash ['Left', 'Backward']"
1745191836.490528,6.048,"Flash ['Backward', 'Forward']"
1745191836.6924787,6.250,"Flash ['Forward', 'Right']"
1745191836.8949773,6.452,"Flash ['Backward', 'Right']"
1745191837.097106,6.655,"Flash ['Right', 'Forward']"
1745191837.3002558,6.858,"Flash ['Backward', 'Left']"
1745191837.502762,7.060,"Flash ['Left', 'Right']"
1745191837.7054017,7.263,"Flash ['Right', 'Left']"
1745191837.9079907,7.465,"Flash ['Backward', 'Left']"
1745191838.1102633,7.668,"Flash ['Left', 'Backward']"
1745191838.3129969,7.870,"Flash ['Left', 'Forward']"
1745191838.5149558,8.072,"Flash ['Forward', 'Right']"
1745191838.717482,8.275,"Flash ['Right', 'Backward']"
1745191838.9195554,8.477,"Flash ['Right', 'Backward']"
1745191839.1229699,8.680,"Flash ['Forward', 'Right']"
1745191839.3247547,8.882,"Flash ['Backward', 'Right']"
1745191839.5275307,9.085,"Flash ['Forward', 'Left']"
1745191839.7301905,9.288,"Flash ['Right', 'Left']"
1745191839.9315686,9.489,"Flash ['Forward', 'Right']"
1745191840.1349354,9.692,"Flash ['Left', 'Right']"
1745191840.3359036,9.893,"Flash ['Right', 'Backward']"
1745191840.5392425,10.097,"Flash ['Right', 'Left']"
1745191840.740861,10.298,"Flash ['Right', 'Backward']"
1745191840.9426568,10.500,"Flash ['Forward', 'Backward']"
1745191841.145064,10.703,"Flash ['Backward', 'Forward']"
1745191841.347475,10.905,"Flash ['Right', 'Left']"
1745191841.5490832,11.107,"Flash ['Left', 'Right']"
1745191841.7528384,11.310,"Flash ['Left', 'Backward']"
1745191841.9537442,11.511,"Flash ['Right', 'Backward']"
1745191842.1559436,11.713,"Flash ['Forward', 'Right']"
1745191842.3589332,11.916,"Flash ['Left', 'Right']"
1745191842.5607696,12.118,End Flashing - Backward
1745191852.561779,22.119,Baseline - Backward
1745191852.561779,22.119,End Trial 15 - Backward
