Real Time,Elapsed Time,Event
1745191874.6872585,0.000,Start Trial 17 - Forward
1745191876.6896093,2.002,Start Flashing - Forward
1745191876.690132,2.003,"Flash ['Left', 'Backward']"
1745191876.8924654,2.205,"Flash ['Right', 'Forward']"
1745191877.0949185,2.408,"Flash ['Left', 'Right']"
1745191877.2961316,2.609,"Flash ['Backward', 'Forward']"
1745191877.4996066,2.812,"Flash ['Backward', 'Left']"
1745191877.7015662,3.014,"Flash ['Left', 'Backward']"
1745191877.9035425,3.216,"Flash ['Left', 'Right']"
1745191878.1060596,3.419,"Flash ['Left', 'Backward']"
1745191878.3090882,3.622,"Flash ['Right', 'Left']"
1745191878.5111873,3.824,"Flash ['Forward', 'Right']"
1745191878.7131252,4.026,"Flash ['Forward', 'Left']"
1745191878.9151962,4.228,"Flash ['Forward', 'Right']"
1745191879.1167414,4.429,"Flash ['Left', 'Forward']"
1745191879.3197358,4.632,"Flash ['Forward', 'Backward']"
1745191879.5223575,4.835,"Flash ['Left', 'Backward']"
1745191879.7239168,5.037,"Flash ['Backward', 'Forward']"
1745191879.9261458,5.239,"Flash ['Right', 'Forward']"
1745191880.1283448,5.441,"Flash ['Backward', 'Right']"
1745191880.3310003,5.644,"Flash ['Left', 'Backward']"
1745191880.5327864,5.846,"Flash ['Right', 'Forward']"
1745191880.7357013,6.048,"Flash ['Right', 'Backward']"
1745191880.9389627,6.252,"Flash ['Backward', 'Left']"
1745191881.1409538,6.454,"Flash ['Left', 'Forward']"
1745191881.3427918,6.656,"Flash ['Backward', 'Left']"
1745191881.5461311,6.859,"Flash ['Backward', 'Forward']"
1745191881.7483315,7.061,"Flash ['Right', 'Backward']"
1745191881.950235,7.263,"Flash ['Forward', 'Backward']"
1745191882.1516373,7.464,"Flash ['Left', 'Right']"
1745191882.3548853,7.668,"Flash ['Forward', 'Right']"
1745191882.5572352,7.870,"Flash ['Forward', 'Right']"
1745191882.7590458,8.072,"Flash ['Right', 'Forward']"
1745191882.9613123,8.274,"Flash ['Forward', 'Backward']"
1745191883.1635895,8.476,"Flash ['Right', 'Forward']"
1745191883.3660393,8.679,"Flash ['Forward', 'Right']"
1745191883.5690174,8.882,"Flash ['Forward', 'Left']"
1745191883.7712646,9.084,"Flash ['Forward', 'Right']"
1745191883.973094,9.286,"Flash ['Right', 'Forward']"
1745191884.1760187,9.489,"Flash ['Forward', 'Right']"
1745191884.378425,9.691,"Flash ['Right', 'Forward']"
1745191884.5806866,9.893,"Flash ['Forward', 'Backward']"
1745191884.782754,10.095,"Flash ['Forward', 'Right']"
1745191884.98427,10.297,"Flash ['Backward', 'Right']"
1745191885.1870275,10.500,"Flash ['Left', 'Right']"
1745191885.3893585,10.702,"Flash ['Backward', 'Right']"
1745191885.5909717,10.904,"Flash ['Backward', 'Forward']"
1745191885.7936509,11.106,"Flash ['Forward', 'Backward']"
1745191885.996082,11.309,"Flash ['Forward', 'Right']"
1745191886.1993814,11.512,"Flash ['Forward', 'Left']"
1745191886.40109,11.714,"Flash ['Backward', 'Forward']"
1745191886.603967,11.917,"Flash ['Left', 'Right']"
1745191886.805459,12.118,End Flashing - Forward
1745191896.8062246,22.119,Baseline - Forward
1745191896.8062246,22.119,End Trial 17 - Forward
