Real Time,Elapsed Time,Event
1745191564.9623332,0.000,Start Trial 3 - Right
1745191566.9644508,2.002,Start Flashing - Right
1745191566.9644508,2.002,"Flash ['Left', 'Right']"
1745191567.1671653,2.205,"Flash ['Left', 'Forward']"
1745191567.3690243,2.407,"Flash ['Forward', 'Left']"
1745191567.5714948,2.609,"Flash ['Forward', 'Right']"
1745191567.773491,2.811,"Flash ['Backward', 'Forward']"
1745191567.9756744,3.013,"Flash ['Forward', 'Right']"
1745191568.178167,3.216,"Flash ['Right', 'Backward']"
1745191568.3800716,3.418,"Flash ['Forward', 'Right']"
1745191568.583036,3.621,"Flash ['Backward', 'Right']"
1745191568.784711,3.822,"Flash ['Backward', 'Forward']"
1745191568.9874344,4.025,"Flash ['Forward', 'Right']"
1745191569.1896698,4.227,"Flash ['Forward', 'Backward']"
1745191569.392411,4.430,"Flash ['Right', 'Backward']"
1745191569.5944018,4.632,"Flash ['Backward', 'Left']"
1745191569.797342,4.835,"Flash ['Backward', 'Right']"
1745191569.9995656,5.037,"Flash ['Right', 'Forward']"
1745191570.2014756,5.239,"Flash ['Backward', 'Right']"
1745191570.404134,5.442,"Flash ['Left', 'Backward']"
1745191570.6073246,5.645,"Flash ['Right', 'Left']"
1745191570.809297,5.847,"Flash ['Right', 'Left']"
1745191571.0112653,6.049,"Flash ['Left', 'Forward']"
1745191571.2140915,6.252,"Flash ['Forward', 'Right']"
1745191571.4166596,6.454,"Flash ['Right', 'Left']"
1745191571.6180825,6.656,"Flash ['Forward', 'Right']"
1745191571.8201025,6.858,"Flash ['Backward', 'Forward']"
1745191572.0235763,7.061,"Flash ['Left', 'Backward']"
1745191572.2252278,7.263,"Flash ['Right', 'Left']"
1745191572.4277673,7.465,"Flash ['Right', 'Left']"
1745191572.6306934,7.668,"Flash ['Backward', 'Left']"
1745191572.8335943,7.871,"Flash ['Forward', 'Left']"
1745191573.0363882,8.074,"Flash ['Left', 'Forward']"
1745191573.2384663,8.276,"Flash ['Forward', 'Right']"
1745191573.4409587,8.479,"Flash ['Left', 'Right']"
1745191573.6432884,8.681,"Flash ['Forward', 'Backward']"
1745191573.8460102,8.884,"Flash ['Backward', 'Forward']"
1745191574.0480015,9.086,"Flash ['Right', 'Forward']"
1745191574.2502692,9.288,"Flash ['Backward', 'Left']"
1745191574.4518762,9.490,"Flash ['Left', 'Right']"
1745191574.6552913,9.693,"Flash ['Forward', 'Backward']"
1745191574.8565476,9.894,"Flash ['Forward', 'Right']"
1745191575.0589964,10.097,"Flash ['Forward', 'Right']"
1745191575.261414,10.299,"Flash ['Left', 'Right']"
1745191575.4634469,10.501,"Flash ['Left', 'Right']"
1745191575.6660244,10.704,"Flash ['Left', 'Forward']"
1745191575.8680046,10.906,"Flash ['Backward', 'Forward']"
1745191576.0705292,11.108,"Flash ['Backward', 'Right']"
1745191576.2730067,11.311,"Flash ['Forward', 'Backward']"
1745191576.4757934,11.513,"Flash ['Forward', 'Left']"
1745191576.6771114,11.715,"Flash ['Forward', 'Right']"
1745191576.8804655,11.918,"Flash ['Forward', 'Left']"
1745191577.0819478,12.120,End Flashing - Right
1745191587.0825367,22.120,Baseline - Right
1745191587.0825367,22.120,End Trial 3 - Right
